AMA INA,Basin,Subbasin,YEAR,Owner or BMP Operator,Right Number,Right Type,Well Id,CADASTRAL,AF Pumped,Movement Type,Water Type,LAT_DEGREES,LAT_MINUTES,LAT_SECONDS,LONG_DEGREES,LONG_MINUTES,LONG_SECONDS,PROGRAM
PHOENIX AMA,,,2023,ROUTE 14 INVESTMENT PARTNERS LLC,58-102408.0004,TYPE 2 NON-IRRIGATION GFR,60001,B-05-02 08CCB,1.994,WITHDRAWAL,GROUNDWATER,33.0,47.0,3.6,112.0,29.0,3.6,58.0
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2023,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,84785,B-01-04 18AAC,56.81,WITHDRAWAL,GROUNDWATER,33.0,25.0,3.6,112.0,41.0,3.6,59.0
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2023,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,84786,B-01-04 18AAD,124.42,WITHDRAWAL,GROUNDWATER,33.0,25.0,3.6,112.0,41.0,3.6,59.0
PINAL AMA,,,2023,"D.A. HOLDINGS, L.L.C.",58-107768.0004,TYPE 1 GFR,85518,D-04-03 17DDA,133.74,WITHDRAWAL,GROUNDWATER,,,3.6,,,3.6,58.0
PINAL AMA,PINAL AMA,ELOY,2023,CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT,57-001101.0000,IRRIGATION DISTRICT (SW & GW),85622,D-08-07 11ADD,90.81,WITHDRAWAL,GROUNDWATER,,,3.6,,,3.6,57.0
PINAL AMA,,,2023,MARICOPA STANFIELD IRRIGATION,57-001103.0000,IRRIGATION DISTRICT (SW & GW),85665,D-06-03 34AAA,2118.29,WITHDRAWAL,GROUNDWATER,,,3.6,,,3.6,57.0
PHOENIX AMA,PHOENIX AMA,HASSAYAMPA,2023,STOTZ DAIRY,59-219101.0000,GENERAL INDUSTRIAL USE WITHDRAWAL PERM,85683,B-01-04 18AAC,0.12,WITHDRAWAL,GROUNDWATER,33.0,25.0,3.6,112.0,41.0,3.6,59.0
TUCSON AMA,TUCSON AMA,UPPER SANTA CRUZ,2023,PIMA COUNTY PARKS & RECREATION,58-100379.0004,TYPE 2 NON-IRRIGATION GFR,85744,D-12-13 19ADA,26.651,WITHDRAWAL,GROUNDWATER,,,,,,,58.0
TUCSON AMA,TUCSON AMA,UPPER SANTA CRUZ,2023,CITY OF TUCSON/TUCSON WATER,74-560621.0008,RECOVERY WELL PERMITS,86158,D-12-12 21ADB,0.68,RECOVERED,CAP WATER RECOVERED,32.0,22.0,3.6,111.0,7.0,3.6,74.0
PINAL AMA,,,2023,MARICOPA STANFIELD IRRIGATION,57-001103.0000,IRRIGATION DISTRICT (SW & GW),86247,D-05-03 12CDD,2091.55,WITHDRAWAL,GROUNDWATER,,,3.6,,,3.6,57.0
