"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","CHRYSLER CORPORATION","58-102408.0001","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","13.11","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","JAY LYNN TANKERSLEY","58-109008.0000","TYPE 2 NON-IRRIGATION GFR","084067","D-13-15 33DBB","9","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1994","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","70.88","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1994","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","135.63","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","222","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","085339","D-02-06 34AAD","30.49","WITHDRAWAL","GROUNDWATER","33","12","59","111","43","12","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1994","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","085665","D-06-03 34AAA","1187.75","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1994","STOTZ FARMS","59-085683.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085683","B-01-04 18AAC","29.15","WITHDRAWAL","GROUNDWATER","33","25","56.4","112","41","47.8","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","TUCSON READY MIX, INC","59-085685.0000","MINERAL EXTRACTION","085685","D-15-16 19AAA","356","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","TRIPLE G FARMS","59-085686.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085686","B-01-01 14DAC","77.5","WITHDRAWAL","GROUNDWATER","33","25","32","112","19","37","59"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","ALLIED CONCRETE & MATERIALS CO","59-085690.0000","MINERAL EXTRACTION","085690","A-02-06 29DDD","0.88","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","PIMA COUNTY PARKS & RECREATION","59-085744.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","085744","D-12-13 19ADA","32.24","WITHDRAWAL","GROUNDWATER","","","","","","","59"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","PIMA COUNTY PARKS & RECREATION","58-100376.0001","TYPE 2 NON-IRRIGATION GFR","085744","D-12-13 19ADA","2","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","STANDARD CHARTERED BANK","58-113290.0002","IRRIGATION USE","085768","B-01-02 08ACC","1275","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","1994","WALDO BUTLER REVOCABLE TRUST DTD 8/15/90","58-100926.0003","IRRIGATION USE","085958","B-02-06 23AAA","82.24","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1994","NORTHSIDE HAY COMPANY INC","58-150072.0002","TYPE 2 NON-IRRIGATION GFR","086077","D-05-04 08DDD","266.08","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1994","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086247","D-05-03 12CDD","1556.01","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"SANTA CRUZ AMA","SANTA CRUZ AMA","SANTA CRUZ AMA","1994","CONTINENTAL SERVICE CORP#20880","58-103495.0000","IRRIGATION USE","086314","D-21-13 17ACC","19.52","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","THE PARK COMPANY","58-105307.0004","TYPE 2 MINERAL EXTRACT GFR","086349","D-18-13 05ABA","328","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","BASSETT, PERRY E","58-101595.0002","IRRIGATION USE","086408","B-03-01 20BBB","945.98","WITHDRAWAL","GROUNDWATER","33","35","","112","23","","58"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","EVELYN SIMMONS SMITH","60-203303.0000","IRRIGATION USE","086552","D-18-26 21DAC","115.3","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086602","D-08-06 26DBB","821.1","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","MILLER, MICHAEL D & GWEN E","60-203211.0000","IRRIGATION USE","086641","D-18-26 22CDD","376.35","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","1994","CARLOS SANUDO","60-203212.0001","IRRIGATION USE","086643","D-18-26 28ACD","112.53","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","1994","TUCKER JON A","58-108810.0000","IRRIGATION USE","086681","B-01-02 22BAB","301","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086830","D-07-06 34DCC","193.02","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","086835","D-08-08 12DAD","526.86","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","1994","ARIZONA DEPT. OF CORRECTIONS - TUCSON","56-000362.0000","LARGE MUNICIPAL PROVIDER MNPCCP","086902","D-16-14 01DAD","176.29","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","1994","ARIE HELMUT  DE JONG","58-110673.0006","TYPE 1 GFR","086951","D-02-06 16BAB","58.73","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1994","MARICOPA STANFIELD IRRIGATION","57-001103.0000","IRRIGATION DISTRICT (SW & GW)","086952","D-05-03 21DDC","265.51","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087003","D-09-07 11DAD","34.41","WITHDRAWAL","GROUNDWATER","","","","","","","57"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","1994","ANDERSON BROTHERS FARM WATER","56-001303.0000","MUNICIPAL PROVIDER (GW ONLY)","087174","D-06-04 04DDD","41.51","WITHDRAWAL","GROUNDWATER","","","","","","","56"
"PINAL AMA","PINAL AMA","ELOY","1994","CENTRAL ARIZONA IRRIGATION & DRAINAGE DISTRICT","57-001101.0000","IRRIGATION DISTRICT (SW & GW)","087194","D-08-06 26DDA","239.84","WITHDRAWAL","GROUNDWATER","","","","","","","57"
